soc,title,employment,median_wage,aioe,gpt_beta_model,gpt_beta_human,soc_major
11-1011,Chief Executives,204350,213990.0,1.3342,0.5078,0.3694,11
11-1021,General and Operations Managers,3503020,105770.0,0.5749,0.4808,0.3846,11
11-2011,Advertising and Promotions Managers,21470,133660.0,1.2944,0.4767,0.5465,11
11-2021,Marketing Managers,395240,166790.0,1.315,0.5,0.5781,11
11-2022,Sales Managers,637080,148270.0,1.2663,0.45,0.4833,11
11-2032,Public Relations Managers,74850,146910.0,,0.55,0.575,11
11-2033,Fundraising Managers,38810,125470.0,,0.5625,0.5,11
11-3012,Administrative Services Managers,263960,114130.0,,0.3913,0.5,11
11-3013,Facilities Managers,156180,106660.0,,0.4002,0.4042,11
11-3021,Computer and Information Systems Managers,670570,175140.0,1.0599,0.5303,0.5606,11
11-3031,Financial Managers,841710,166570.0,1.4462,0.4851,0.4541,11
11-3051,Industrial Production Managers,246250,126060.0,0.5087,0.4057,0.3296,11
11-3061,Purchasing Managers,84320,148080.0,1.4234,0.5857,0.4714,11
11-3071,"Transportation, Storage, and Distribution Managers",221180,107230.0,0.8908,0.4865,0.473,11
11-3111,Compensation and Benefits Managers,22940,149230.0,1.2982,0.5132,0.4605,11
11-3121,Human Resources Managers,220660,149280.0,1.3204,0.48,0.45,11
11-3131,Training and Development Managers,48050,133000.0,1.2844,0.5,0.4773,11
11-9013,"Farmers, Ranchers, and Other Agricultural Managers",6500,89900.0,-0.1444,0.3673,0.2449,11
11-9021,Construction Managers,380360,114990.0,1.0291,0.4444,0.4,11
11-9031,"Education and Childcare Administrators, Preschool and Daycare",73660,59300.0,0.838,0.4688,0.5156,11
11-9032,"Education Administrators, Kindergarten through Secondary",328330,105870.0,1.0488,0.4182,0.4545,11
11-9033,"Education Administrators, Postsecondary",180470,104590.0,1.4611,0.439,0.4756,11
11-9039,"Education Administrators, All Other",55130,95200.0,0.3541,,,11
11-9041,Architectural and Engineering Managers,220260,171270.0,0.837,0.4426,0.3308,11
11-9051,Food Service Managers,238430,69390.0,-0.1213,0.4167,0.3958,11
11-9071,Gambling Managers,5030,93220.0,0.8299,0.5735,0.4853,11
11-9072,"Entertainment and Recreation Managers, Except Gambling",37980,79520.0,,0.3529,0.3824,11
11-9081,Lodging Managers,42620,69250.0,0.4022,0.4565,0.3804,11
11-9111,Medical and Health Services Managers,597080,123860.0,1.2603,0.4286,0.3714,11
11-9121,Natural Sciences Managers,108690,167220.0,1.3279,0.5307,0.4865,11
11-9131,Postmasters and Mail Superintendents,13810,96660.0,0.8234,0.5238,0.4524,11
11-9141,"Property, Real Estate, and Community Association Managers",311180,69990.0,1.2154,0.4432,0.4318,11
11-9151,Social and Community Service Managers,209330,80390.0,1.1562,0.3929,0.4464,11
11-9161,Emergency Management Directors,13500,93330.0,1.0308,0.4222,0.6,11
11-9171,Funeral Home Managers,13910,78790.0,,0.4286,0.5357,11
11-9179,"Personal Service Managers, All Other",10450,69770.0,,0.4521,0.3253,11
11-9199,"Managers, All Other",622190,141900.0,0.9647,0.4913,0.4655,11
13-1011,"Agents and Business Managers of Artists, Performers, and Athletes",12620,82890.0,1.0686,0.5435,0.3696,13
13-1020,Buyers and Purchasing Agents,491430,77710.0,,,,13
13-1031,"Claims Adjusters, Examiners, and Investigators",324230,78000.0,1.274,0.52,0.49,13
13-1032,"Insurance Appraisers, Auto Damage",11560,78240.0,0.6635,0.5,0.5,13
13-1041,Compliance Officers,417070,80730.0,0.6981,0.5263,0.5265,13
13-1051,Cost Estimators,224220,78740.0,1.3677,0.5,0.4808,13
13-1071,Human Resources Specialists,912430,75940.0,1.36,0.6444,0.5889,13
13-1074,Farm Labor Contractors,310,58460.0,-0.4354,0.1429,0.0,13
13-1075,Labor Relations Specialists,64810,95420.0,1.3348,0.5472,0.4434,13
13-1081,Logisticians,251040,82320.0,1.2973,0.5279,0.5966,13
13-1082,Project Management Specialists,1066670,102320.0,,0.55,0.4,13
13-1111,Management Analysts,898280,101860.0,1.4324,0.4048,0.5,13
13-1121,"Meeting, Convention, and Event Planners",142860,61160.0,0.374,0.4865,0.3649,13
13-1131,Fundraisers,111040,72550.0,1.2426,0.5192,0.4904,13
13-1141,"Compensation, Benefits, and Job Analysis Specialists",112380,78210.0,1.441,0.4737,0.4737,13
13-1151,Training and Development Specialists,458300,69280.0,1.1984,0.5526,0.5921,13
13-1161,Market Research Analysts and Marketing Specialists,899580,78760.0,1.4268,0.5246,0.5426,13
13-1199,"Business Operations Specialists, All Other",1087090,83050.0,1.0477,0.5828,0.538,13
13-2011,Accountants and Auditors,1449500,83680.0,1.482,0.56,0.52,13
13-2020,Property Appraisers and Assessors,57070,67960.0,,,,13
13-2031,Budget Analysts,47160,91640.0,1.503,0.52,0.64,13
13-2041,Credit Analysts,64390,83510.0,1.3453,0.5556,0.5556,13
13-2051,Financial and Investment Analysts,361980,102740.0,1.3806,0.4615,0.5,13
13-2052,Personal Financial Advisors,266800,105070.0,1.4007,0.5,0.6711,13
13-2053,Insurance Underwriters,105420,81370.0,1.3267,0.5714,0.5,13
13-2054,Financial Risk Specialists,63850,117330.0,,0.5333,0.5833,13
13-2061,Financial Examiners,67830,94160.0,1.5261,0.5,0.5758,13
13-2071,Credit Counselors,27770,52230.0,1.3854,0.625,0.6932,13
13-2072,Loan Officers,274330,76690.0,1.3857,0.5909,0.6477,13
13-2081,"Tax Examiners and Collectors, and Revenue Agents",56610,62370.0,1.3668,0.5806,0.6774,13
13-2082,Tax Preparers,76480,54920.0,1.2937,0.625,0.625,13
13-2099,"Financial Specialists, All Other",132130,81100.0,1.3614,0.5832,0.5924,13
15-1211,Computer Systems Analysts,519530,105850.0,,0.6174,0.5535,15
15-1212,Information Security Analysts,190650,129180.0,,0.6522,0.5435,15
15-1221,Computer and Information Research Scientists,37200,140300.0,,0.6346,0.5,15
15-1231,Computer Network Support Specialists,146190,76220.0,,0.6346,0.5385,15
15-1232,Computer User Support Specialists,717190,61860.0,,0.6111,0.6667,15
15-1241,Computer Network Architects,179740,134050.0,,0.6352,0.5433,15
15-1242,Database Administrators,69990,104620.0,,0.9355,0.5968,15
15-1243,Database Architects,67140,139500.0,,0.9112,0.646,15
15-1244,Network and Computer Systems Administrators,314340,99130.0,,0.7297,0.5135,15
15-1251,Computer Programmers,92230,100390.0,,0.95,0.6833,15
15-1252,Software Developers,1687890,135980.0,,0.8684,0.4474,15
15-1253,Software Quality Assurance Analysts and Testers,186740,104300.0,,0.8772,0.614,15
15-1254,Web Developers,70190,92650.0,,0.9327,0.6346,15
15-1255,Web and Digital Interface Designers,113330,104000.0,,0.75,0.6333,15
15-1299,"Computer Occupations, All Other",435370,116580.0,,0.7358,0.597,15
15-2011,Actuaries,26670,130000.0,1.5165,0.5,0.537,15
15-2021,Mathematicians,2030,126710.0,1.4723,1.0,0.6905,15
15-2031,Operations Research Analysts,108510,88940.0,1.4,0.629,0.629,15
15-2041,Statisticians,29030,105650.0,1.3827,0.7247,0.7253,15
15-2051,Data Scientists,262440,120230.0,,0.6948,0.5815,15
15-2099,"Mathematical Science Occupations, All Other",3720,81490.0,,0.8667,0.65,15
17-1011,"Architects, Except Landscape and Naval",106770,99280.0,1.0471,0.4884,0.4302,17
17-1012,Landscape Architects,19600,79870.0,1.0344,0.4211,0.3684,17
17-1021,Cartographers and Photogrammetrists,14260,81390.0,0.817,0.52,0.46,17
17-1022,Surveyors,50830,75440.0,0.1461,0.5101,0.4198,17
17-2011,Aerospace Engineers,67710,134960.0,1.3387,0.5714,0.5179,17
17-2021,Agricultural Engineers,1480,98590.0,0.941,0.4259,0.3333,17
17-2031,Bioengineers and Biomedical Engineers,23480,109370.0,0.9874,0.5897,0.5385,17
17-2041,Chemical Engineers,21070,125040.0,1.3413,0.4615,0.3462,17
17-2051,Civil Engineers,367840,100840.0,1.2829,0.4821,0.4545,17
