id,date,source,company,location,jobs,excerpt,human_label,model_label,model_rationale
warn-5022,2026-04-13,ny,Nespresso,New York,46,"Relocation of Business, Artificial Intelligence",yes,yes,AI mentioned alongside the reason
warn-1767,,il,COLONIAL PENN,DOWNERS GROVE,67,Plant Closure,no,no,"Plant Closure does not mention AI, automation, machine learning, or chatbots"
warn-3772,,il,,Chicago,41,Layoff,no,unclear,"Layoff does not explicitly mention AI, automation, or related terms."
warn-4905,2026-04-12,ny,Catholic Guardian Services (Rescission),Bronx,0,Contract Termination,no,no,"The stated reason is 'Contract Termination', which does not mention AI, artificial intelligence, automation, machine learning, or chatbots."
warn-5020,2026-05-27,ny,Morgan Stanley,New York,1,Other,no,no,"The stated reason does not mention AI, artificial intelligence, automation, machine learning, or chatbots."
warn-624,,il,"ARCH OF ILLINOIS, INC.- DENMARK MINES",CAMPBELL HILL,120,Mass Layoff,no,no,"Mass Layoff does not mention AI, artificial intelligence, automation, machine learning, or chatbots"
warn-4913,2026-04-14,ny,"Citibank, N.A.",New York,820,Economic,no,no,"Economic does not mention AI, artificial intelligence, automation, machine learning, or chatbots"
warn-5072,2026-05-29,ny,Tourmaline Bio Inc.,New York,60,Merger,no,no,"Mentioned 'Merger', not AI-related"
warn-4918,2026-03-13,ny,DF NY One Inc. d/b/a Dreamfields,Westchester,13,Contract Loss Funding Loss,no,unclear,"Due to the vague reference to 'contract loss', the cause is unclear as it does not explicitly mention AI, automation, or any other specific reason for the layoff."
press-01,2026-04-15,press-sec,Snap,,1000,"CEO memo via SEC filing: ""rapid advancements in artificial intelligence enable our teams to reduce repetitive work"" and increase velocity; cuts explicitly tied to AI advancements.",yes,yes,CEO explicitly links cuts to AI advancements
press-02,2026-06-23,press-sec,Oracle,,21000,"Regulatory filing: ""the adoption and deployment of AI technologies across our operations have resulted, and may continue to result, in reductions to our workforce.""",yes,yes,AI technologies adoption and deployment mentioned
press-03,2026-02-27,press-guardian,Block,,4000,"“Intelligence tools have changed what it means to build and run a company...A significantly smaller team, using the tools we’re building, can do more and do it better. And intelligence tool capabilities are compounding faster every week.”",yes,unclear,Vague efficiency language hints at automation without explicitly naming it
press-04,2026-05-07,press-blog,Cloudflare,,1100,"Founders' letter on company blog: ""Today’s actions are not a cost-cutting exercise or an assessment of individuals’ performance; they are about Cloudflare defining how a world-class, high-growth company operates and creates value in the agentic AI era.""",yes,unclear,"Mention of 'agentic AI era' hints at automation, but no explicit mention of AI, artificial intelligence, automation, machine learning, or chatbots."
press-05,2026-05-13,press-blog,Cisco,,4000,"CEO email on company blog: reduction of fewer than 4,000 tied to a rapidly changing market, intensifying competition, and a global component shortage amid ""the AI buildout from our customers""; framed as cost-structure discipline to win in the AI era.",no,yes,Mention of AI buildout from customers
